original	gold_id	pred_id
これが100円で解決したということです	最近（1か月以内）	過去
あのこれはですねうちのマンションで防災員が張り出したあの災害があった時に無事でいるかどうかを自分の玄関扉に貼ってその確認してもらうものなんですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それはまあ私の工夫じゃないんですけどもその下にあの字がちょっと見えるかどうか出かける時に結構忘れちゃうことが多くて時間がないと戻らない	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
でもおとといもクーラーつけっぱなしで一日外にいましたのであのチェックするように	最近（1か月以内）	過去
であのこの課題を出されてうーんって考えたらそうだこれがあったと思ってあの先週土曜日ぐらいに作りました	最近（1か月以内）	過去
特に今の季節電気つけっぱなしが多いんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
前から湯呑みでやってたんですけどちょっと飲みにくいんでこれやっぱ百均で買ったんですけどね	最近（1か月以内）	過去
あのこれ入れておくと飲んだ分また水たして冷蔵庫に入れとくと喉かわいたときすぐちょっと飲めるんですごい自分でも便利だなーって感心してこう兄弟とか知り合いに勧めてるんですよね	現在（状態、性質、考えなど）	過去-現在（習慣など）
でも梅干しはあの母がつけたもう10年物みたいな古いのがあってどうしようもなかったんですけど	現在（状態、性質、考えなど）	過去
こうふにすると一日一個で十分間に合ってちょうどいいしょっぱさで味も嫌味がないし	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
おまけにふやけた頃には梅干しが食べられるというのですごく今年自分で感心しております	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これはあのまあ植木のしぼみたいなものを支柱みたいのも重ねて巻いて先に軍手をつけたもんだけど	現在（状態、性質、考えなど）	過去
これなぜこんなものを作ったかと言いますと	最近（1か月以内）	現在（状態、性質、考えなど）
ベランダの方の手の届かない所に落ち葉が落ちてるとなかなかそれをはききれないんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これですと手を伸ばしてそこの入らないとこへ突っ込んでゴシゴシやると	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あのぐんたにからまってね出てくるんでで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは重宝だなと思ってよく使っております	過去-現在（習慣など）	現在（状態、性質、考えなど）
まあ濡れた時でも雨の時でも軍手が染み込むんで	現在（状態、性質、考えなど）	過去
この水を水分を含んで綺麗に拭き取れるんで結構重宝だなと自画自賛してます	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
まであと手前の方であの糸で結んでるところでこれの集を上下すれば長さを調節できるんで今それで調整しながらやっています	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これはですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あの私絵やってるもんで	現在（状態、性質、考えなど）	過去-現在（習慣など）
あのイーゼルスタンドです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
イーゼルスタンドですとあのキャンパスはあそこに置いてるんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そのときにパレットを置く場所があの上にないんでいつも下に置いてますから	現在（状態、性質、考えなど）	過去-現在（習慣など）
なかなか絵具をこう下を見ながらまた上にというんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
何かこう支え台をしてそこにパレットおけばキャンパスを見ながらすぐでも絵具着彩できるというので	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そのパレットを置く台をあそこに自分で工夫をしてちょっとつける台を作りました	最近（1か月以内）	過去
まああのプラスチックの板と裏側にそれを支える支柱をつけて裏紐でこのイーゼルスタンド引っ掛けて安定させると言うんでちょっとの針金で両方ぶれないようにちょっと支えてます	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
使わないときはこれをばらせばいいということでこれを絵を書く時に使ってます	現在（状態、性質、考えなど）	過去-現在（習慣など）
これ郵便局のあれですか ATM ですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうです郵便局の ATM ですはい	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
月島のあそこですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
3丁目のとこ行ったことある	過去	過去
郵便局のそうそうそうあの勝どきの2階のとこですね2台あるうちの一台ですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
引き出す時だけですか引き出す時だけ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうですねあの普通の銀行とかそういうのはもう閉まっちゃうと108円とないのかなとても1000円出しても100円ですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは一切取られないんですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あの郵便局閉まっても外とか中にあるこれをやればあの1000円出しても一切手数料0です	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だから一番もいいなと思います	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それ利用した方がいいですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あと振り込みもねただなんですからねあの同じ郵便局ならね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
現金じゃなくてあのある通帳に入ってるものから送るのはタダです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
金額が大きくてもタダですからね手数料は	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だからまああの他の銀行の場合でもおろすときはま１０００円とかそういうんじゃなくてある程度大きい金額でも同じ108円取られるですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だからあの郵便局だったらいくら金額を大小関わらずただですからね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
投資銀行より郵便局の多いですもんね数がね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ペットボトルはこの500ぐらいのですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうです500ですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ちょっと軽くありませんもうものたんなくないですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あまりねなんかやってる人に聞いたら重たいのやるとかえって強くなっちゃうってかな痛くなっちゃうんだね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
どのぐらいなんですか重さは一つの重さはグラムかなんかで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
今あれと同じです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
重さは水の浄化で重さの調整するんですけど全く同じですあればいっぱい目に入っていっぱいめにいれて字重さです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
いつもいっぱい入れてるんですか	現在（状態、性質、考えなど）	過去-現在（習慣など）
ながら同じ重さです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だから同じ重さを絶えず毎日やれるっていうあまり大きいと疲れちゃうとつい手を降ろしちゃうんですよ	過去-現在（習慣など）	過去-現在（習慣など）
そうですよこうやってこうやってあがったりこうやったりこうやってやって expand みたいな感じでやりますね	過去-現在（習慣など）	現在（状態、性質、考えなど）
すごく便利ですよこれね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
もう年とるとだめだね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ならもう自分でできるぐらいの毎日できるようなものをやりなさいよく指導受けましたよね	過去	過去
この手ぬぐいみたいな何でしたか	現在（状態、性質、考えなど）	過去
これもね普通のタオルを細くしてこのぐらいの幅で肩幅でまずもってこ首の上細やってね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ちょっと大きくて今度は足をくぐらすま縄跳びみたいな形でこうやるって言うねそのできる範囲でやるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そしたらね今度は女房が伸びるのを買ってきてくれましたよ	過去	過去
まこれは違うんだけど伸びるのあるんですよねそれならすごくいいですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
のびるんですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
毎日やるほうが望ましいって言ってましたね	過去	過去
あれはあれですかシンク映してるんですかテーブルみたいに見えるけど	最近（1か月以内）	現在（状態、性質、考えなど）
テーブルに置いたんですか流しじゃなくて	最近（1か月以内）	過去
テーブルにね流しぐちゃぐちゃしてるんでね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
部屋の写真ように座敷に持ってきてとったわけです	最近（1か月以内）	過去
こっちにあるあの丸いプラスチックとむこうにあるのもそうなんすか向こうにはないのかな	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あ向こうにあるんですねちょっとね二ついれちゃうときつくなるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
一つ予備予備って言うか二つ買ってきたんですけどねこれがちょうど取らなくても取れるようになったかな	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あれコップみたいのは下は何か平なあれになってんの穴があいてるわけじゃなくて	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
穴が空いてて網になってんですよね結局水きるようになってますからね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それであのあそこの水切りをですね買ってきたら	最近（1か月以内）	過去
あの光ってるのがありますねあれはねあのコカコーラのペットボトルなんですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
1.5 L のあれを輪切りみたいにして結局あそこへぱさって入れたんですよそうすると箸いれてもこう	最近（1か月以内）	過去
ステンレスの受け皿ですかステンレスの受け皿ですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうですこのぐらい置いとけばいい	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
箸なんかがねみんな始めあの一番奥の隙間なんかにいれちゃったんです	最近（1か月以内）	過去
斜めになっちゃうからそれで考えたやつあれを輪切りにしてちょっとやったらぴったり入ったもんだから向こうのも3段目ぐらいまで入れてある	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これ私全く同じのね300いくらで買いましたよ	最近（1か月以内）	過去
100円であったんだ	最近（1か月以内）	過去
あれ上合紙になってんのを下でこうやんの拭き方は	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これも100円ですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
100均です	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あのね合紙のとこみたいのがあれでありますね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あれがねあの人工ダイヤモンドが入ってるようなそしてのものなんですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
でしたのでちょっと消しゴムみたいな固いやつなんですあれで水つけてこうやってれば	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
鹿の子模様の方でこすんですか鹿の子模様の方でこするんですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうそうそうそう	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうですねこっち側も使っているものですからちょっと黒くなって黒くなってるでしょ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
こっちが新しいのがすぽって入っててあのこういう風にして売ってるわけですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だからあれが大きければもっと上手く綺麗に落ちるんですから鏡がでかくてもね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
どのくらいもつんすかこれ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
どのくらいもつんですかね結構持ってますよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これねやっぱり予備で一つ買ってきてそれまだ使ってませんからね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
綺麗になったらもうねある程度ちょこちょこってやればもう	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それまでが大変だったですね	過去	過去
じゃちっちゃいもんなんですかこのくらいのあそのぐらいそれはいいね便利	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
だからマッチ箱昔のマッチ箱ぐらいなもんです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
お風呂っていうのは	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ホーローかなんかをやるんですかお風呂お風呂	過去-現在（習慣など）	現在（状態、性質、考えなど）
タイル	過去-現在（習慣など）	現在（状態、性質、考えなど）
それはもうほらそれはこれ鏡とガラスの専門なんですそれのあの頑固な汚れを取るっていう道具ですよね用具っていうか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
すごくしつこくなってあと水かけると見えるんですけどそれが乾いちゃうと真っ白になっちゃうんですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
古い古い風呂場のは特に風呂は汚れるからこれ100円でとっても便利ですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは習慣的にやるわけですが	過去-現在（習慣など）	現在（状態、性質、考えなど）
無事ですっていうのはなんか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これはねあのいざっていうときに使えないと困るのであの内側にドアの内側にマグネットで張り付けてあって	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
何かあったらそれを表側に貼るとそのドアの外から確認できちゃうからお手数が省けるわけじゃなくて	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
すぐ緊急時のっていうことで家の防災医院が作ったんですよね	過去	過去
それを真似してあの手書きに見れるように貼ったんです	最近（1か月以内）	過去
結構ねあの出かける時と時間がないわってバタバタしちゃって忘れていることがあるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それはセロテープではるんですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうです	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
外出時チェックってのは山藤さんが作ったんですかね	最近（1か月以内）	過去
下のは私が作ったの自分用にとりあえず夏場ようにエアコンとかかいた	最近（1か月以内）	過去
そうそうあれいいよねちょっと出るときねああやって電気切れてるかどうかね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ということでこれちょっと苦肉の策で	現在（状態、性質、考えなど）	過去
宿題のあれを使ってか今回のなんかあったっけっていうか色々考えてあったあったって言うそれもありますね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
作ってでもよかったですこれは	現在（状態、性質、考えなど）	過去
これは毎日飲んでますよそれで美味しいの	過去-現在（習慣など）	過去-現在（習慣など）
これ水ですかただの	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
水ですただの	現在（状態、性質、考えなど）	過去
あのそいで飲んだ分たしてまた冷蔵庫入れとくといつも冷たいのでストローってのはねいいんですよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あのこういうのでぐびぐびって言うと結構喉通らない	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
喉は通るんですけど喉に刺激がないんだけどストローで飲むと喉にぱってあたるんで乾きが悪い早く治るんですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あれはね十年ぐらいはたってますよ	現在（状態、性質、考えなど）	過去-現在（習慣など）
こんなかりかりで潮を吹いてこんなカリカリだったのが1日入れるとあのふっくらして最後にぐずぐずになるくらいふっくらすんですよ	現在（状態、性質、考えなど）	過去
これお湯入れて焼酎もいいんですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あれ梅干しっていうのは何日ぐらい来入れとくんですか	現在（状態、性質、考えなど）	過去-現在（習慣など）
1日か2日で大体ふやけますよね塩気も無くなるし	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
でその梅干しも処理できたし役に立ったんでね	最近（1か月以内）	過去
これはもうずっとやろうと思って100均に行ってあったんであれをね買いました	最近（1か月以内）	過去
ストローついて売ってんの	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あの形で売ってます	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
この梅干しはそういう古い梅ぼしじゃないとまずいですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
よく売ってますよねあのしょっぱいあれでも言い訳	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
いやいや普通です大丈夫です	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ストローと一緒になって売ってんですか百均が百均で便利ですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうなんです百均で	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
キャンドゥでしたねでもキャンドゥ他の店はなかったですから	現在（状態、性質、考えなど）	過去
あれおすすめですあのままぴゅって冷蔵庫入れちゃって	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
近藤さんのは本当に自分の知恵を絞って作ったんだ感じですね	現在（状態、性質、考えなど）	過去
あれあのさっき聞いてた時樋かなんかですか掃除って	最近（1か月以内）	過去
ベランダのすみがあの門のところまではちょっと植木を置いてるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そっちの方が大きい植木なんでそのどかしていちいちやるの大変なんで横から突いてやると言うんだよ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
いや最初長い棒買ってこうと思ったんですけど	最近（1か月以内）	過去
身近にこういう植木の支柱があるんでそれいくつか重ねればできるなと思ってしかも調節ができるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
調節ってどうやってなさるんですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
白いこう結び目ありますねえあそこの二本重なってこうなってんですけどこの結び目の所がピッチあまりギチギチじゃなくて少しゆるめにしてあるんでこれ伸び縮みする	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あのバックの白い壁みたいのは何ですか	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あバック床の白いのはあのベランダの所の床ですよですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
この黒いのは	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
黒いのはの物干し竿の影です	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
どのくらいの頻度であれですかあの掃除すんのあれやるの使うの	過去-現在（習慣など）	現在（状態、性質、考えなど）
使う頻度ですか大体2、3日に一回は使ってます	過去-現在（習慣など）	過去-現在（習慣など）
このパレットパレットのおいてあってちょっとどういう風にしたらちょっとさっきわかんなかった	現在（状態、性質、考えなど）	過去
あのこれ裏からとってんですけど	最近（1か月以内）	現在（状態、性質、考えなど）
あの向こう側にあのキャンパスの向こう側にてのこう伸びてんですけどねえ	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
こういう風になってですねそこにパレットおいて絵の具を塗る時に使うという	過去-現在（習慣など）	現在（状態、性質、考えなど）
初めはそれがこういうのはなかったのですかこのこのぐらいの	過去	過去
あの今はなんかそういうのついてるイーゼルスタンド売ってるらしいんですけど	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
もしやこれ買った時はついてなかったんでええでも専用のないから自分で工夫するしかないと思って作った	過去	過去
あの棚はなんかのボードかなんかで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あそのボートはですねあのたまたまプラスチックの板みたいのがあったんでそれを	過去	過去
ちょうど長さもちょうど良かったんでね	過去	過去
それを作っときにあの L 字のバーと一緒にこう固定して作って	過去	現在（状態、性質、考えなど）
あそこ見えるやつがＬ字のこれですかこういう	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
そうそうなってＬ字がこうふになって受け皿になって	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
普通パレットって左手で持ってこうやりますよねこうね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
ああいう置く台を作ったってことですか	過去	過去
そうですこれおけるんですよね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これ台で受け皿になってんでこの絵具のパレット置いたり筆を置いたりしながらこやってかけるんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
昔写生する時に画板っつうのあったじゃないですかをちょっと思い出しません	現在（状態、性質、考えなど）	過去
画板首から下げるやつね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
まああれはあの場所でいつもかいてんですか大体絵を描くときは	過去-現在（習慣など）	過去-現在（習慣など）
これはＦ６号なんですけどだいたい6号は多いですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
持ち運びもできるわけでしょ持ち運びもできるわけでしょバラして	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
持ち運びできますこれ組み立て式なんで	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
はいこれはですねあの地元のところから配られました防災のマップなんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
いわゆるこれはあのうちの地元月島なんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
月島第一小学校における防災拠点の運営委員会ってのが設置されましてですね	最近（1か月以内）	過去
それにも私も参加されまして	最近（1か月以内）	過去
ここあのちょっと見にくいんですけど地図が書いてありまして第一小学校がまずあの防災なった場合の避難場所だよって言うことがうたってあるんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
まつこで訓練しましてどんな訓練をしたかというといわゆる非難の設置ですね、	最近（1か月以内）	現在（状態、性質、考えなど）
設置とまたあのいわゆる食料ない場合の備蓄されている食べ物の試食とかそういったものを訓練して毎年一回やっております	過去-現在（習慣など）	過去-現在（習慣など）
ここが防災の地区で家族でももってますこれはですねまあ防災にもいろいろあるんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
やっぱり一番苦い経験したのは実は自分の家一戸建ての家をたてて２年くらいしたら隣の家から出火がでましてね隣が全焼したんですよ	過去	過去
家の場合は隣の壁がちょっと延焼されましたけども	過去	過去
この時はもう夜中の一時くらいだったんでもうあせってほんとなんにももたずにそれこそパジャマ姿で外へ出て避難したっていう苦い経験がありますんで	過去	過去
まず第一にどうするかっていうと火災ですね	未来（予定、予測、願望、仮定など）	現在（状態、性質、考えなど）
それは一番もう今日まで気にしてまして	過去-現在（習慣など）	過去
まず消火器を2階と１階においてあるんですけども	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは２階においてあるんですけどもおいてあってまず消火第一の心構えでまず消火っていうのを念頭においてますね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは急にですねあの地震がきてすぐに持っていけるようなことをいつも側の玄関側に置いとくんですけどっていうこと	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これあの右にある袋があるリックサックみたいになってましてあそこへみんなつぎこんでおくということをしております	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それでこれは一応急に避難が必要っていうような命令があった時にこれをもちすぐに持っていけるようにしときます	未来（予定、予測、願望、仮定など）	過去-現在（習慣など）
あとふつうの食品としては食料とペットボトルの水はいつも多めに買っといて	過去-現在（習慣など）	現在（状態、性質、考えなど）
で一応そっから消費したものはまたそこへ補充するってよローリングストックっていうかそれをやってます	過去-現在（習慣など）	現在（状態、性質、考えなど）
それからこれはあの一応杉山さんがさっき言ったようにここここが	現在（状態、性質、考えなど）	過去
やはり逃げるところんお場所避難場所ですね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
それの公園の中の一つなんですけどそしてこのちょっとあの左側が佃島小学校と佃中学校のこれ裏側になりますね	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
してその学校が避難所にもなってるんでそれで一応ここであの避難する時に	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
家族がバラバラになっちゃうときもありますんでその時にはここに集まろうって	未来（予定、予測、願望、仮定など）	過去-現在（習慣など）
あとからでもいいからそして夜をこすようだったらその学校のとこへ来るようにしようっていう打ち合わせをしています	現在（状態、性質、考えなど）	過去-現在（習慣など）
まああのうちのほうの	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
あ終わりかなもう	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
6秒	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
一応あの家の方の地域は皆の大体全部があの	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
これは高木さんと同じように持ち出し用のリュックで中にお水とか食料とかはいってて手前にあるのが消火器	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
でもあれは大した量がないんですがとりあえず台所で火が出たぐらいなら大丈夫と	現在（状態、性質、考えなど）	過去
その隣があのうちのマンションの防災委員が作った防災時のマニュアルなんですけど	現在（状態、性質、考えなど）	現在（状態、性質、考えなど）
